Date,Jour,Competition,Round,Venue,Resultats,Equipe,Opponent,Start match,Position,Minute played,Goals,Passes decisives,Penalty goals,Penalty attempted,Total shots,Shot on target,Yellow cards,Red cards,Touches,Pressure applies,Tackles,Interceptions,Block,SCA,GCA,Passes completed,Passes total,Ball Carries,Dribble succedeed,Dribble attempted
2018-01-17,Wed,Copa del Rey,Quarter-finals,Away,L 0–1,Barcelona,Espanyol,Y,,90,0,0,0,1,,,0,0,,,,,,,,,,,,
2018-01-21,Sun,La Liga,Matchweek 20,Away,W 5–0,Barcelona,Betis,Y*,FW,90,2,1,0,0,4,2,0,0,67,14,0,0,0,8,2,48,59,66,8,8
2018-01-25,Thu,Copa del Rey,Quarter-finals,Home,W 2–0,Barcelona,Espanyol,Y,,90,1,0,0,0,,,1,0,,,,,,,,,,,,
2018-01-28,Sun,La Liga,Matchweek 21,Home,W 2–1,Barcelona,Alavés,Y,"FW,RM",90,1,0,0,0,6,6,0,0,77,7,0,0,1,5,0,44,62,61,4,4
2018-02-01,Thu,Copa del Rey,Semi-finals,Home,W 1–0,Barcelona,Valencia,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,
2018-02-04,Sun,La Liga,Matchweek 22,Away,D 1–1,Barcelona,Espanyol,N,RW,32,0,1,0,0,0,0,0,0,18,3,0,1,0,1,1,5,13,15,2,2
2018-02-08,Thu,Copa del Rey,Semi-finals,Away,W 2–0,Barcelona,Valencia,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2018-02-11,Sun,La Liga,Matchweek 23,Home,D 0–0,Barcelona,Getafe,Y*,FW,90,0,0,0,0,4,2,0,0,72,6,0,0,1,6,0,46,61,63,3,3
2018-02-17,Sat,La Liga,Matchweek 24,Away,W 2–0,Barcelona,Eibar,Y,FW,90,0,1,0,0,4,2,0,0,53,16,1,0,0,7,2,31,37,47,3,8
2018-02-20,Tue,Champions Lg,Round of 16,Away,D 1–1,Barcelona,Chelsea,Y,FW,90,1,0,0,0,1,1,0,0,,,,0,,,,,,,,
2018-02-24,Sat,La Liga,Matchweek 25,Home,W 6–1,Barcelona,Girona,Y*,FW,90,2,1,0,0,7,5,0,0,63,7,1,0,0,10,2,41,54,69,9,10
2018-03-01,Thu,La Liga,Matchweek 26,Away,D 1–1,Barcelona,Las Palmas,Y,FW,90,1,0,0,0,4,2,0,0,57,11,2,0,0,9,2,31,42,56,4,6
2018-03-04,Sun,La Liga,Matchweek 27,Home,W 1–0,Barcelona,Atlético Madrid,Y,FW,90,1,0,0,0,4,2,1,0,76,21,0,1,1,9,1,50,61,60,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,Wed,Champions Lg,Round of 16,Home,W 3–0,Barcelona,Chelsea,Y,FW,90,2,1,0,0,3,3,0,0,,,,1,,,,,,,,
2018-03-18,Sun,La Liga,Matchweek 29,Home,W 2–0,Barcelona,Athletic Club,Y*,FW,90,1,0,0,0,9,5,0,0,56,15,1,0,0,10,1,30,39,55,6,9
2018-03-23,Fri,Friendlies (M),Friendlies (M),Home,W 2–0,Argentina,Italy,N,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,Sat,La Liga,Matchweek 30,Away,D 2–2,Barcelona,Sevilla,N,FW,33,1,0,0,0,4,2,0,0,34,2,0,1,0,1,0,17,24,34,3,4
2018-04-04,Wed,Champions Lg,Quarter-finals,Home,W 4–1,Barcelona,Roma,Y,FW,90,0,0,0,0,7,3,0,0,,,,0,,,,,,,,
2018-04-07,Sat,La Liga,Matchweek 31,Home,W 3–1,Barcelona,Leganés,Y*,AM,90,3,0,0,0,7,5,0,0,74,7,0,0,0,4,1,47,59,75,8,12
2018-04-10,Tue,Champions Lg,Quarter-finals,Away,L 0–3,Barcelona,Roma,Y,FW,90,0,0,0,0,5,2,1,0,,,,2,,,,,,,,
2018-04-14,Sat,La Liga,Matchweek 32,Home,W 2–1,Barcelona,Valencia,Y,FW,90,0,0,0,0,6,2,0,0,86,13,0,1,0,6,0,64,75,80,3,3
2018-04-17,Tue,La Liga,Matchweek 33,Away,D 2–2,Barcelona,Celta Vigo,N,FW,31,0,0,0,0,1,0,0,0,20,4,1,0,0,1,0,15,17,20,0,0
2018-04-21,Sat,Copa del Rey,Final,Neutral,W 5–0,Barcelona,Sevilla,Y,,90,1,2,0,0,,,0,0,,,,,,,,,,,,
2018-04-29,Sun,La Liga,Matchweek 35,Away,W 4–2,Barcelona,La Coruña,Y*,FW,90,3,0,0,0,9,5,0,0,99,9,1,0,0,10,1,72,82,83,7,8
2018-05-06,Sun,La Liga,Matchweek 36,Home,D 2–2,Barcelona,Real Madrid,Y,AM,90,1,0,0,0,5,3,1,0,79,22,1,0,1,6,1,50,61,57,3,7
2018-05-09,Wed,La Liga,Matchweek 34,Home,W 5–1,Barcelona,Villarreal,Y,FW,90,1,0,0,0,4,1,0,0,89,11,0,1,0,4,1,68,79,74,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-20,Sun,La Liga,Matchweek 38,Home,W 1–0,Barcelona,Real Sociedad,N,"LW,RW",24,0,0,0,0,1,1,0,0,19,3,0,0,1,3,0,16,17,17,1,1
2018-05-29,Tue,Friendlies (M),Friendlies (M),Home,W 4–0,Argentina,Haiti,Y*,CM,90,3,1,1,1,,,0,0,,,,,,,,,,,,
2018-06-16,Sat,FIFA World Cup,Group stage,Neutral,D 1–1,Argentina,Iceland,Y*,AM,90,0,0,0,1,10,2,0,0,98,4,1,0,0,11,0,59,70,94,4,7
2018-06-21,Thu,FIFA World Cup,Group stage,Neutral,L 0–3,Argentina,Croatia,Y*,AM,90,0,0,0,0,1,0,0,0,38,22,2,0,1,4,0,23,29,37,4,4
2018-06-26,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,Argentina,Nigeria,Y*,FW,90,1,0,0,0,2,1,1,0,75,15,1,0,2,4,0,50,64,70,10,12
2018-06-30,Sat,FIFA World Cup,Round of 16,Neutral,L 3–4,Argentina,France,Y*,FW,90,0,2,0,0,4,1,0,0,56,25,0,0,2,6,2,31,39,50,3,5
