,pays,nombreDeClubs,lienDesClubs
17,Clubs de football de Colombia,28,https://fbref.com/fr/pays/clubs/COL/Clubs-de-football-de-Colombia
18,Clubs de football de Croatia,26,https://fbref.com/fr/pays/clubs/CRO/Clubs-de-football-de-Croatia
19,Clubs de football de Cyprus,12,https://fbref.com/fr/pays/clubs/CYP/Clubs-de-football-de-Cyprus
20,Clubs de football de Czech Republic,31,https://fbref.com/fr/pays/clubs/CZE/Clubs-de-football-de-Czech-Republic
21,Clubs de football de Denmark,27,https://fbref.com/fr/pays/clubs/DEN/Clubs-de-football-de-Denmark
22,Clubs de football de Ecuador,22,https://fbref.com/fr/pays/clubs/ECU/Clubs-de-football-de-Ecuador
23,Clubs de football de England,942,https://fbref.com/fr/pays/clubs/ENG/Clubs-de-football-de-England
24,Clubs de football de Estonia,15,https://fbref.com/fr/pays/clubs/EST/Clubs-de-football-de-Estonia
25,Clubs de football de Faroe Islands,14,https://fbref.com/fr/pays/clubs/FRO/Clubs-de-football-de-Faroe-Islands
26,Clubs de football de Finland,36,https://fbref.com/fr/pays/clubs/FIN/Clubs-de-football-de-Finland
27,Clubs de football de France,590,https://fbref.com/fr/pays/clubs/FRA/Clubs-de-football-de-France
28,Clubs de football de French Guiana,3,https://fbref.com/fr/pays/clubs/GUF/Clubs-de-football-de-French-Guiana
29,Clubs de football de Georgia,22,https://fbref.com/fr/pays/clubs/GEO/Clubs-de-football-de-Georgia
30,Clubs de football de Germany,366,https://fbref.com/fr/pays/clubs/GER/Clubs-de-football-de-Germany
31,Clubs de football de Gibraltar,4,https://fbref.com/fr/pays/clubs/GIB/Clubs-de-football-de-Gibraltar
32,Clubs de football de Greece,45,https://fbref.com/fr/pays/clubs/GRE/Clubs-de-football-de-Greece
33,Clubs de football de Guadeloupe,3,https://fbref.com/fr/pays/clubs/GLP/Clubs-de-football-de-Guadeloupe
34,Clubs de football de Hungary,36,https://fbref.com/fr/pays/clubs/HUN/Clubs-de-football-de-Hungary
35,Clubs de football de Iceland,19,https://fbref.com/fr/pays/clubs/ISL/Clubs-de-football-de-Iceland
36,Clubs de football de India,36,https://fbref.com/fr/pays/clubs/IND/Clubs-de-football-de-India
37,Clubs de football de Iran,29,https://fbref.com/fr/pays/clubs/IRN/Clubs-de-football-de-Iran
38,Clubs de football de Ireland,17,https://fbref.com/fr/pays/clubs/IRL/Clubs-de-football-de-Republic-of-Ireland
39,Clubs de football de Israel,17,https://fbref.com/fr/pays/clubs/ISR/Clubs-de-football-de-Israel
40,Clubs de football de Italy,177,https://fbref.com/fr/pays/clubs/ITA/Clubs-de-football-de-Italy
41,Clubs de football de Japan,48,https://fbref.com/fr/pays/clubs/JPN/Clubs-de-football-de-Japan
42,Clubs de football de Kazakhstan,15,https://fbref.com/fr/pays/clubs/KAZ/Clubs-de-football-de-Kazakhstan
43,Clubs de football de Kosovo,6,https://fbref.com/fr/pays/clubs/KVX/Clubs-de-football-de-Kosovo
44,Clubs de football de Latvia,17,https://fbref.com/fr/pays/clubs/LVA/Clubs-de-football-de-Latvia
45,Clubs de football de Liechtenstein,2,https://fbref.com/fr/pays/clubs/LIE/Clubs-de-football-de-Liechtenstein
46,Clubs de football de Lithuania,18,https://fbref.com/fr/pays/clubs/LTU/Clubs-de-football-de-Lithuania
47,Clubs de football de Luxembourg,19,https://fbref.com/fr/pays/clubs/LUX/Clubs-de-football-de-Luxembourg
48,Clubs de football de Malta,13,https://fbref.com/fr/pays/clubs/MLT/Clubs-de-football-de-Malta
49,Clubs de football de Martinique,1,https://fbref.com/fr/pays/clubs/MTQ/Clubs-de-football-de-Martinique
50,Clubs de football de Mexico,29,https://fbref.com/fr/pays/clubs/MEX/Clubs-de-football-de-Mexico
51,Clubs de football de Moldova,20,https://fbref.com/fr/pays/clubs/MDA/Clubs-de-football-de-Moldova
52,Clubs de football de Montenegro,15,https://fbref.com/fr/pays/clubs/MNE/Clubs-de-football-de-Montenegro
53,Clubs de football de Netherlands,56,https://fbref.com/fr/pays/clubs/NED/Clubs-de-football-de-Netherlands
54,Clubs de football de New Zealand,2,https://fbref.com/fr/pays/clubs/NZL/Clubs-de-football-de-New-Zealand
55,Clubs de football de North Macedonia,23,https://fbref.com/fr/pays/clubs/MKD/Clubs-de-football-de-North-Macedonia
56,Clubs de football de Northern Ireland,15,https://fbref.com/fr/pays/clubs/NIR/Clubs-de-football-de-Northern-Ireland
